add-none,2,10,40,214436,5360,0
add-none,2,20,80,196624,2457,0
add-none,2,40,160,184227,1151,0
add-none,2,80,320,174550,545,0
add-none,2,100,400,223052,557,15
add-none,2,1000,4000,163800,40,0
add-none,2,10000,40000,808608,20,-3614
add-none,2,100000,400000,6218409,15,-20198
add-none,4,10,80,211916,2648,0
add-none,4,20,160,244948,1530,0
add-none,4,40,320,221360,691,0
add-none,4,80,640,225393,352,0
add-none,4,100,800,227575,284,0
add-none,4,1000,8000,302674,37,-159
add-none,4,10000,80000,2035997,25,-1011
add-none,4,100000,800000,21440086,26,-30228
add-none,8,10,160,364519,2278,0
add-none,8,20,320,343120,1072,0
add-none,8,40,640,386757,604,0
add-none,8,80,1280,361726,282,-15
add-none,8,100,1600,377777,236,0
add-none,8,1000,16000,365847,22,-278
add-none,8,10000,160000,5602530,35,985
add-none,8,100000,1600000,62568271,39,-11649
add-none,12,10,240,471137,1963,0
add-none,12,20,480,481689,1003,0
add-none,12,40,960,484282,504,0
add-none,12,80,1920,484200,252,0
add-none,12,100,2400,448564,186,0
add-none,12,1000,24000,457367,19,124
add-none,12,10000,240000,10024004,41,1606
add-none,12,100000,2400000,101939671,42,-16401
add-yield-none,2,10,40,209781,5244,0
add-yield-none,2,20,80,224182,2802,8
add-yield-none,2,40,160,244127,1525,35
add-yield-none,2,80,320,335825,1049,30
add-yield-none,2,100,400,359083,897,0
add-yield-none,2,1000,4000,2003126,500,34
add-yield-none,2,10000,40000,17905279,447,147
add-yield-none,2,100000,400000,177802163,444,-1902
add-yield-none,4,10,80,245903,3073,2
add-yield-none,4,20,160,268711,1679,21
add-yield-none,4,40,320,297214,928,57
add-yield-none,4,80,640,390451,610,86
add-yield-none,4,100,800,362645,453,54
add-yield-none,4,1000,8000,2094264,261,24
add-yield-none,4,10000,80000,19513674,243,634
add-yield-none,4,100000,800000,178032598,222,-3582
add-yield-none,8,10,160,361965,2262,3
add-yield-none,8,20,320,358149,1119,52
add-yield-none,8,40,640,365891,571,57
add-yield-none,8,80,1280,412287,322,34
add-yield-none,8,100,1600,463382,289,66
add-yield-none,8,1000,16000,2311584,144,83
add-yield-none,8,10000,160000,20681450,129,-692
add-yield-none,8,100000,1600000,206504907,129,-7956
add-yield-none,12,10,240,453222,1888,16
add-yield-none,12,20,480,500921,1043,86
add-yield-none,12,40,960,513935,535,132
add-yield-none,12,80,1920,538896,280,44
add-yield-none,12,100,2400,568414,236,-11
add-yield-none,12,1000,24000,2816798,117,101
add-yield-none,12,10000,240000,25919428,107,-303
add-yield-none,12,100000,2400000,256558770,106,-5689
add-none,1,10,20,191604,9580,0
add-none,1,20,40,200647,5016,0
add-none,1,40,80,193966,2424,0
add-none,1,80,160,840600,5253,0
add-none,1,100,200,198723,993,0
add-none,1,1000,2000,234635,117,0
add-none,1,10000,20000,369314,18,0
add-none,1,100000,200000,1505753,7,0
add-yield-none,1,10,20,218272,10913,0
add-yield-none,1,100,200,331467,1657,0
add-yield-none,1,1000,2000,1817730,908,0
add-yield-none,1,10000,20000,15113518,755,0
add-yield-none,1,100000,200000,143981301,719,0
add-yield-m,2,10000,40000,49117917,1227,0
add-yield-m,4,10000,80000,131104847,1638,0
add-yield-m,8,10000,160000,270120027,1688,0
add-yield-m,12,10000,240000,426938288,1778,0
add-yield-c,2,10000,40000,33684153,842,0
add-yield-c,4,10000,80000,72087913,901,0
add-yield-c,8,10000,160000,151385306,946,0
add-yield-c,12,10000,240000,261216126,1088,0
add-yield-s,2,1000,4000,3757579,939,0
add-yield-s,4,1000,8000,10468428,1308,0
add-yield-s,8,1000,16000,27779385,1736,0
add-yield-s,12,1000,24000,57794888,2408,0
add-m,1,10000,20000,735071,36,0
add-c,1,10000,20000,471963,23,0
add-s,1,10000,20000,345261,17,0
add-m,2,10000,40000,3192875,79,0
add-c,2,10000,40000,2435862,60,0
add-s,2,10000,40000,3373300,84,0
add-m,4,10000,80000,14039263,175,0
add-c,4,10000,80000,8066628,100,0
add-s,4,10000,80000,22990487,287,0
add-m,8,10000,160000,30289230,189,0
add-c,8,10000,160000,22844195,142,0
add-s,8,10000,160000,81594290,509,0
add-m,12,10000,240000,48392462,201,0
add-c,12,10000,240000,40841227,170,0
add-s,12,10000,240000,206028429,858,0
